Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance,copyright,copyright_holder
/twilio-csharp-5.17.0.tar.gz-extract/,directory,twilio-csharp-5.17.0.tar.gz-extract,twilio-csharp-5.17.0.tar.gz-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,939,295,10178979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/twilio-csharp-5.17.0.tar.gz-extract/twilio-csharp-5.17.0/,directory,twilio-csharp-5.17.0,twilio-csharp-5.17.0,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,939,294,10178979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/twilio-csharp-5.17.0.tar.gz-extract/twilio-csharp-5.17.0/.travis.yml,file,.travis.yml,.travis,.yml,504,2018-09-20,a34953bc2878f04fed44dd134f79329e9b338d58,82dba707476e41b9d0396a9e8eb71a3b,text/plain,ASCII text,ActionScript 3,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/twilio-csharp-5.17.0.tar.gz-extract/twilio-csharp-5.17.0/appveyor.yml,file,appveyor.yml,appveyor,.yml,203,2018-09-20,4c89dca1044b6436a23fe66fe598950c271db46c,f68cf2bc814bcaf3c50f726f5ef76c89,text/plain,"ASCII text, with CRLF line terminators",,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/twilio-csharp-5.17.0.tar.gz-extract/twilio-csharp-5.17.0/build.ps1,file,build.ps1,build,.ps1,2803,2018-09-20,76b5bf5057c2253bddf5ec110f8784916fdc578b,9d7b228b93ab9cbbed97795649da40b8,text/plain,"ASCII text, with CRLF line terminators",PowerShell,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/twilio-csharp-5.17.0.tar.gz-extract/twilio-csharp-5.17.0/CHANGES.md,file,CHANGES.md,CHANGES,.md,19895,2018-09-20,044506c38a30006170d6cb1679931d80bdba42ea,ff8c8a38c283d20f034e361713de8606,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/twilio-csharp-5.17.0.tar.gz-extract/twilio-csharp-5.17.0/CONTRIBUTING.md,file,CONTRIBUTING.md,CONTRIBUTING,.md,5873,2018-09-20,c12dbfc01426f009d2f657d699c5b6355763aa48,1ab2fe066ffd45a4f79adcd632cb9bb2,text/plain,ASCII text,Objective-C,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/twilio-csharp-5.17.0.tar.gz-extract/twilio-csharp-5.17.0/Dockerfile,file,Dockerfile,Dockerfile,,1136,2018-09-20,21fdd4fd4517eeaa4ac1df8aac4a6b104c81842f,2d7c61da5231030e8ddc5eb54c2b8292,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/twilio-csharp-5.17.0.tar.gz-extract/twilio-csharp-5.17.0/Doxyfile,file,Doxyfile,Doxyfile,,106617,2018-09-20,d14a0a96a9c5f169c421557c83721dc1801c1efa,10fa39d639b3822baf08efbff273757c,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/twilio-csharp-5.17.0.tar.gz-extract/twilio-csharp-5.17.0/issue_template.md,file,issue_template.md,issue_template,.md,463,2018-09-20,47d4c2f45c402aba7bde95dcdbbde018ef79ed55,df7a7b19596c3a4b4e4603149491b0b1,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/twilio-csharp-5.17.0.tar.gz-extract/twilio-csharp-5.17.0/LICENSE.md,file,LICENSE.md,LICENSE,.md,1087,2018-09-20,ffe560952e9cf0975bf5f72c7c5f871a3b09c946,f3a69fbe56061d0ddab74d6e7ef46b8c,text/plain,ASCII text,,False,True,False,False,False,False,True,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/twilio-csharp-5.17.0.tar.gz-extract/twilio-csharp-5.17.0/LICENSE.md,,,,,,,,,,,,,,,,,,,,,,,,,,mit,99.40,MIT License,MIT License,Permissive,False,MIT,http://opensource.org/licenses/mit-license.php,http://opensource.org/licenses/mit-license.php,https://enterprise.dejacode.com/urn/urn:dje:license:mit,MIT,https://spdx.org/licenses/MIT,1,21,mit_160.RULE,mit,[u'mit'],True,False,False,False,3-seq,167,166,99.40,100.00,,
/twilio-csharp-5.17.0.tar.gz-extract/twilio-csharp-5.17.0/LICENSE.md,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,"Copyright (c) 2018, Twilio, Inc. <help@twilio.com>",
/twilio-csharp-5.17.0.tar.gz-extract/twilio-csharp-5.17.0/LICENSE.md,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,"Twilio, Inc."
/twilio-csharp-5.17.0.tar.gz-extract/twilio-csharp-5.17.0/Makefile,file,Makefile,Makefile,,1162,2018-09-20,9762a1657b67109328ef31a7550acd7d954d61c3,1c6bec84c29203e75bbeb830af682422,text/plain,ASCII text,GAS,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/twilio-csharp-5.17.0.tar.gz-extract/twilio-csharp-5.17.0/README.md,file,README.md,README,.md,4955,2018-09-20,f17f6f6a56812b0cb2f5beea0cf7fabefc01a753,ba05efe6ab8d2ca6c2c9699666a3b51b,text/plain,ASCII text,Objective-C,False,True,False,False,False,False,False,False,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/twilio-csharp-5.17.0.tar.gz-extract/twilio-csharp-5.17.0/Twilio.sln,file,Twilio.sln,Twilio,.sln,3262,2018-09-20,e7fdd40e79d045212c3301cbe04e96ed1b0fe7ae,106cdf1bbd37c5bfdf5430016ee2cd3b,text/plain,"UTF-8 Unicode (with BOM) text, with CRLF line terminators",,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/twilio-csharp-5.17.0.tar.gz-extract/twilio-csharp-5.17.0/UPGRADE.md,file,UPGRADE.md,UPGRADE,.md,4414,2018-09-20,bdcb80ca04c27ac4824abe42e7c05db09e8d2042,ca2c3f1d24c9dda080819cac1eb7eddb,text/plain,ASCII text,,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/twilio-csharp-5.17.0.tar.gz-extract/twilio-csharp-5.17.0/VERSIONS.md,file,VERSIONS.md,VERSIONS,.md,1807,2018-09-20,64e0e9ae5b648eb58ff607edba09271623cc0e15,4226557db719a976c27581ad0a9e3271,text/plain,ASCII text,Objective-C,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/twilio-csharp-5.17.0.tar.gz-extract/twilio-csharp-5.17.0/src/,directory,src,src,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,612,150,7618689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/twilio-csharp-5.17.0.tar.gz-extract/twilio-csharp-5.17.0/src/Twilio/,directory,Twilio,Twilio,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,612,149,7618689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/twilio-csharp-5.17.0.tar.gz-extract/twilio-csharp-5.17.0/src/Twilio/Twilio.cs,file,Twilio.cs,Twilio,.cs,4229,2018-09-20,457c40856829b0c144b64ce2c5f0e39a3b421a15,125b985942c25677a9a63d0627270c38,text/plain,UTF-8 Unicode (with BOM) text,C#,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
